First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_Method	N_Method	P_Method	Ratio_Type	Notes
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.22	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Zygia_longifolia	3	80	20-Jun-02	26.5	4.91	22.3	NA	11	NA	163	1	164	NA	NA	5	NA	0.003612	afdm	NA	NA	NA	NA	NA	NA	2.163398693	0.054197394	NA	NA	88.23913173	NA	dm	"Piper stream, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Trema_integerrima	4	0	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0451	afdm	0.97	1.15	1.25	11.51	8.88	34.09	1.35	0.074	29.45698955	1187.937192	40.32785462	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Trema_integerrima	4	1	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0451	afdm	NA	NA	NA	NA	NA	NA	1.495045625	0.1112838	NA	NA	29.69788836	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Trema_integerrima	4	4	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0451	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Trema_integerrima	4	7	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0451	afdm	NA	NA	NA	NA	NA	NA	1.010020713	0.114171704	NA	NA	19.55576761	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Trema_integerrima	4	11	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0451	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.157	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Trema_integerrima	4	16	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0451	afdm	NA	NA	NA	NA	NA	NA	1.07484745	0.124459526	NA	NA	19.09069577	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Trema_integerrima	4	21	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0451	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Castilla_elastica	5	0	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0064	afdm	16.45	16.05	7.59	16.57	23.16	40.67	2.07	0.128	22.91917364	819.3366856	35.74896279	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
Ardon	Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?	2006	Freshwater Biology	10.1111/j.1365-2427.2006.01515.x	stream	NA	0.07	NA	litter_bag	5	field	NA	forest	shaded	leaves	senesced	Castilla_elastica	5	4	20-Jun-02	26.7	5.02	19.4	NA	12	NA	125	2	127	NA	NA	5	NA	0.0064	afdm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	"Taconazo, La Selva Biological station"	NA	10.43333_-84.01667	3	n	y	n	y	ea	ea	acid	molar	
